League,Season,Stage,Player,Team,GP,MIN,2PM,2PA,3PM,3PA,1PM,1PA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
NBA,2018 - 2019,Regular_Season,LeBron James,Lakers,55,1937.4,558,1095,111,327,278,418,197,94,57,408,465,454,72,33,1505
NBA,2018 - 2019,Regular_Season,Kyle Kuzma,Lakers,70,2313.6,496,1087,128,422,188,250,133,170,60,322,382,178,41,26,1308
NBA,2018 - 2019,Regular_Season,Brandon Ingram,Lakers,52,1760.5,362,729,31,94,195,289,129,149,41,226,267,154,28,31,950
NBA,2018 - 2019,Regular_Season,Kentavious Caldwell-Pope,Lakers,82,2035.0,325,756,151,435,137,158,65,137,48,190,238,110,73,13,938
NBA,2018 - 2019,Regular_Season,JaVale McGee,Lakers,75,1670.8,400,641,1,12,96,152,108,208,195,371,566,52,47,148,897
NBA,2018 - 2019,Regular_Season,Reggie Bullock,Lakers,63,1878.9,245,594,148,393,73,85,65,109,22,151,173,129,40,12,711
NBA,2018 - 2019,Regular_Season,Josh Hart,Lakers,67,1714.8,189,464,92,274,55,80,58,147,35,213,248,93,64,40,525
NBA,2018 - 2019,Regular_Season,Lance Stephenson,Lakers,68,1122.7,184,432,73,197,50,73,86,111,32,183,215,140,41,7,491
NBA,2018 - 2019,Regular_Season,Lonzo Ball,Lakers,47,1422.6,185,456,75,228,20,48,103,114,54,197,251,255,69,19,465
NBA,2018 - 2019,Regular_Season,Mike Muscala,Lakers,64,1305.9,145,361,89,256,70,85,48,130,57,187,244,76,22,38,449
NBA,2018 - 2019,Regular_Season,Tyson Chandler,Lakers,55,874.9,61,99,0,1,51,87,42,110,92,215,307,37,21,23,173
NBA,2018 - 2019,Regular_Season,Kawhi Leonard,Toronto Raptors,60,2040.2,560,1129,112,302,364,426,121,87,78,361,439,199,106,24,1596
NBA,2018 - 2019,Regular_Season,Pascal Siakam,Toronto Raptors,80,2547.7,519,945,79,214,237,302,154,241,124,425,549,248,73,52,1354
NBA,2018 - 2019,Regular_Season,Serge Ibaka,Toronto Raptors,74,2010.5,464,877,49,169,135,177,114,211,156,445,601,99,29,103,1112
NBA,2018 - 2019,Regular_Season,Marc Gasol,Toronto Raptors,79,2436.1,390,870,99,273,192,253,155,217,80,547,627,349,84,86,1071
NBA,2018 - 2019,Regular_Season,Kyle Lowry,Toronto Raptors,65,2213.4,304,739,157,453,161,194,182,166,41,271,312,564,91,31,926
NBA,2018 - 2019,Regular_Season,Danny Green,Toronto Raptors,80,2215.5,293,630,198,435,37,44,75,171,60,257,317,126,73,53,821
NBA,2018 - 2019,Regular_Season,Jeremy Lin,Toronto Raptors,74,1436.3,238,541,55,187,176,210,124,144,22,157,179,231,47,13,707
NBA,2018 - 2019,Regular_Season,Fred VanVleet,Toronto Raptors,64,1760.2,246,600,112,296,97,115,82,110,21,146,167,307,57,20,701
NBA,2018 - 2019,Regular_Season,Norman Powell,Toronto Raptors,60,1126.4,193,400,68,170,62,75,65,96,16,123,139,91,39,13,516
NBA,2018 - 2019,Regular_Season,Ogugua Anunoby,Toronto Raptors,67,1352.3,183,404,67,202,36,62,55,140,58,139,197,47,46,22,469
