League,Season,Stage,Player,Team,GP,MIN,2PM,2PA,3PM,3PA,1PM,1PA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
NBA,2018 - 2019,Regular_Season,James Harden,HOU,78,2866.7,843,1909,378,1028,754,858,387,244,66,452,518,586,158,58,2818
NBA,2018 - 2019,Regular_Season,Paul George,OKC,77,2841.4,707,1614,292,757,453,540,205,214,105,523,628,318,170,34,2159
NBA,2018 - 2019,Regular_Season,Kemba Walker,CHA,82,2862.6,731,1684,260,731,380,450,211,131,52,309,361,484,102,34,2102
NBA,2018 - 2019,Regular_Season,Bradley Beal,WAS,82,3027.8,764,1609,209,596,362,448,224,226,89,322,411,448,121,58,2099
NBA,2018 - 2019,Regular_Season,Damian Lillard,POR,80,2837.9,681,1533,237,643,468,513,212,148,68,303,371,551,88,34,2067
NBA,2018 - 2019,Regular_Season,Kevin Durant,GSW,78,2701.6,721,1383,137,388,448,506,225,155,33,464,497,457,58,84,2027
NBA,2018 - 2019,Regular_Season,Giannis Antetokounmpo,MIL,72,2358.4,721,1247,52,203,500,686,268,232,159,739,898,424,92,110,1994
NBA,2018 - 2019,Regular_Season,Stephen Curry,GSW,69,2331.3,632,1340,354,810,263,287,192,166,45,324,369,361,92,25,1881
NBA,2018 - 2019,Regular_Season,Karl-Anthony Towns,MIN,77,2544.7,681,1314,142,355,376,450,240,292,263,691,954,259,67,125,1880
NBA,2018 - 2019,Regular_Season,Blake Griffin,DET,75,2622.4,619,1341,189,522,414,550,253,199,100,465,565,402,52,28,1841
NBA,2018 - 2019,Regular_Season,Donovan Mitchell,UTA,77,2598.3,661,1530,188,519,319,396,218,208,59,257,316,322,106,31,1829
NBA,2018 - 2019,Regular_Season,Joel Embiid,PHI,64,2154.3,580,1199,79,263,522,649,226,211,160,710,870,234,46,122,1761
NBA,2018 - 2019,Regular_Season,LaMarcus Aldridge,SAS,81,2686.8,684,1319,10,42,349,412,144,179,251,493,744,194,43,107,1727
NBA,2018 - 2019,Regular_Season,D'Angelo Russell,BRK,81,2448.1,659,1517,234,635,160,205,253,141,53,262,315,563,100,20,1712
NBA,2018 - 2019,Regular_Season,Devin Booker,PHX,64,2242.1,586,1255,135,414,393,454,264,200,39,226,265,433,56,13,1700
NBA,2018 - 2019,Regular_Season,Buddy Hield,SAC,82,2614.8,623,1360,278,651,171,193,146,202,106,306,412,205,58,33,1695
NBA,2018 - 2019,Regular_Season,Klay Thompson,GSW,78,2652.3,655,1402,241,599,129,158,115,157,37,262,299,186,84,47,1680
NBA,2018 - 2019,Regular_Season,Russell Westbrook,OKC,73,2629.6,630,1473,119,411,296,451,325,245,109,698,807,784,142,33,1675
NBA,2018 - 2019,Regular_Season,Nikola Vucevic,ORL,80,2510.3,701,1354,84,231,179,227,159,157,224,736,960,307,81,89,1665
NBA,2018 - 2019,Regular_Season,Tobias Harris,PHI,82,2847.9,611,1254,156,393,266,307,151,184,69,576,645,229,51,37,1644
NBA,2018 - 2019,Regular_Season,DeMar DeRozan,SAS,77,2688.2,631,1313,7,45,366,441,199,177,54,408,462,475,86,36,1635
NBA,2018 - 2019,Regular_Season,Nikola Jokic,DEN,80,2503.9,616,1206,83,270,289,352,248,228,228,637,865,580,108,55,1604
NBA,2018 - 2019,Regular_Season,Kyrie Irving,BOS,67,2214.0,604,1241,174,434,214,245,172,167,71,264,335,464,103,34,1596
NBA,2018 - 2019,Regular_Season,Kawhi Leonard,TOR,60,2040.2,560,1129,112,302,364,426,121,87,78,361,439,199,106,24,1596
NBA,2018 - 2019,Regular_Season,Julius Randle,NOP,73,2231.7,571,1089,67,195,356,487,208,246,162,472,634,229,52,45,1565
NBA,2018 - 2019,Regular_Season,Trae Young,ATL,81,2503.3,525,1256,156,482,343,414,308,140,64,237,301,653,72,15,1549
NBA,2018 - 2019,Regular_Season,Luka Doncic,DAL,72,2317.9,506,1186,168,514,346,485,247,137,86,477,563,429,77,25,1526
NBA,2018 - 2019,Regular_Season,LeBron James,LAL,55,1937.4,558,1095,111,327,278,418,197,94,57,408,465,454,72,33,1505
NBA,2018 - 2019,Regular_Season,Lou Williams,LAC,75,1992.8,484,1138,105,291,425,485,181,80,40,182,222,402,57,11,1498
NBA,2018 - 2019,Regular_Season,Zach LaVine,CHI,63,2170.9,530,1135,120,321,312,375,215,140,40,254,294,283,60,26,1492
NBA,2018 - 2019,Regular_Season,Mike Conley,MEM,70,2341.6,490,1120,155,426,343,406,130,123,40,199,239,449,94,22,1478
NBA,2018 - 2019,Regular_Season,C.J. McCollum,POR,70,2375.2,571,1243,167,445,159,192,106,172,62,220,282,207,55,28,1468
NBA,2018 - 2019,Regular_Season,Bojan Bogdanovic,IND,81,2573.0,522,1051,164,386,246,305,134,138,33,300,333,161,69,1,1454
NBA,2018 - 2019,Regular_Season,Anthony Davis,NOP,56,1850.0,530,1026,48,145,344,433,112,132,174,498,672,218,88,135,1452
NBA,2018 - 2019,Regular_Season,Jrue Holiday,NOP,67,2402.0,547,1159,118,363,208,271,210,148,75,259,334,518,109,54,1420
NBA,2018 - 2019,Regular_Season,Khris Middleton,MIL,77,2393.5,506,1148,179,474,216,258,174,172,50,411,461,331,80,7,1407
NBA,2018 - 2019,Regular_Season,De'Aaron Fox,SAC,81,2545.9,505,1102,86,232,303,417,227,204,43,261,304,590,133,45,1399
NBA,2018 - 2019,Regular_Season,J.J. Redick,PHI,76,2379.3,452,1027,240,605,228,255,101,129,20,166,186,206,32,17,1372
NBA,2018 - 2019,Regular_Season,Collin Sexton,CLE,82,2605.1,519,1205,119,296,214,255,185,186,57,179,236,243,44,6,1371
NBA,2018 - 2019,Regular_Season,Andre Drummond,DET,79,2647.1,561,1052,5,38,243,412,175,272,423,809,1232,112,136,138,1370
